,precision,recall,f1-score,support
waiting,0.46710526315789475,0.2776148582600195,0.34825260576333533,1023.0
setting,0.6698564593301436,0.7608695652173914,0.712468193384224,368.0
digging,0.47368421052631576,0.13953488372093023,0.2155688622754491,645.0
falling,0.6657681940700808,0.6621983914209115,0.6639784946236559,373.0
spiking,0.6858108108108109,0.5970588235294118,0.6383647798742138,340.0
blocking,0.8157142857142857,0.8263386396526773,0.8209920920201293,691.0
jumping,0.0,0.0,0.0,89.0
moving,0.6049382716049383,0.4016393442622951,0.48275862068965525,1342.0
standing,0.8209425821440425,0.9285781323322384,0.871449332804862,10655.0
accuracy,0.7798531495555842,0.7798531495555842,0.7798531495555842,0.7798531495555842
macro avg,0.5782022308176125,0.5104258487106529,0.5282036646039472,15526.0
weighted avg,0.7493248959013578,0.7798531495555842,0.7550341927262681,15526.0
